"AAPL.High","AAPL.Open","AAPL.Close","AAPL.Low","AAPL.Volume","AAPL.Adjusted","AAPL.High.SMA50","AAPL.Open.SMA50","AAPL.Close.SMA50","AAPL.Low.SMA50","AAPL.Volume.SMA50","AAPL.Adjusted.SMA50","AAPL.High.SMA200","AAPL.Open.SMA200","AAPL.Close.SMA200","AAPL.Low.SMA200","AAPL.Volume.SMA200","AAPL.Adjusted.SMA200","crosses"
30.9025,30.772499,30.692499,30.530001,177822000,28.097153,32.15925002,31.95300014,31.92914998,31.72144998,179471856,29.22923346,NA,NA,NA,NA,NA,NA,NA
30.977501,30.844999,30.844999,30.637501,134472400,28.236759,32.13135002,31.92455008,31.90219994,31.69314996,179104664,29.20456232,NA,NA,NA,NA,NA,NA,NA
30.875,30.7875,30.747499,30.567499,148046800,28.147497,32.09525002,31.89840006,31.8661999,31.66269994,177994968,29.17160634,NA,NA,NA,NA,NA,NA,NA
30.6425,30.58,30.592501,30.4275,134513200,28.005613,32.0537,31.85655004,31.82769988,31.62304994,177114576,29.13636196,NA,NA,NA,NA,NA,NA,NA
30.66,30.65,30.325001,30.227501,171540000,27.760731,32.01200002,31.81955004,31.78389992,31.58089998,177628984,29.09626572,NA,NA,NA,NA,NA,NA,NA
30.6425,30.375,29.610001,29.379999,279904000,27.10619,31.9667,31.7767,31.71914994,31.51934996,180048632,29.0369909,NA,NA,NA,NA,NA,NA,NA
29.424999,29.355,28.66,28.3125,496554400,26.236521,31.89034998,31.70579996,31.62964998,31.4286,186332040,28.95505902,NA,NA,NA,NA,NA,NA,NA
29.360001,28.237499,28.85,28.025,397250400,26.410452,31.81299998,31.6075499,31.55855,31.34350002,188621240,28.8899711,NA,NA,NA,NA,NA,NA,NA
29.125,28.9925,28.782499,28.530001,211612000,26.46793,31.7342,31.53569992,31.47400002,31.26385002,189186824,28.814956,NA,NA,NA,NA,NA,NA,NA
29.0625,28.645,28.879999,28.625,154681600,26.557587,31.65570002,31.44929992,31.3927,31.18084998,189821792,28.74292414,NA,NA,NA,NA,NA,NA,NA
29.997499,29.1325,29.93,29.1325,219806400,27.523155,31.59840002,31.37579994,31.3399,31.11400002,190147160,28.69706938,NA,NA,NA,NA,NA,NA,NA
29.545,29.452499,28.372499,28.3325,388331200,26.090899,31.53235002,31.31344992,31.25465002,31.0304,195344760,28.62137934,NA,NA,NA,NA,NA,NA,NA
28.855,28.1325,28.809999,27.407499,404870000,26.493216,31.45615,31.22679992,31.18104996,30.93194994,200748752,28.55639038,NA,NA,NA,NA,NA,NA,NA
29.1,29.01,28.7875,28.635,194143200,26.472527,31.38344998,31.1536999,31.10619998,30.85514998,202152936,28.49025552,NA,NA,NA,NA,NA,NA,NA
29.077499,28.58,28.99,28.502501,171718000,26.658741,31.31209996,31.0773999,31.03919998,30.78064998,202511288,28.4313234,NA,NA,NA,NA,NA,NA,NA
29.4125,29.01,29.290001,28.875,163538800,26.93462,31.25189994,31.0100999,30.98175004,30.71634998,202931920,28.38115884,NA,NA,NA,NA,NA,NA,NA
29.360001,29.1075,29.125,29.002501,138242800,26.782885,31.19304992,30.94774994,30.92525002,30.66225,201482792,28.33185014,NA,NA,NA,NA,NA,NA,NA
29.129999,29.025,28.752501,28.67,193146000,26.440342,31.1352499,30.89474996,30.86320004,30.60754998,200859680,28.27742982,NA,NA,NA,NA,NA,NA,NA
28.5875,28.52,28.1625,27.907499,274006400,25.897789,31.06029992,30.82554996,30.78205002,30.52644996,203212824,28.20547586,NA,NA,NA,NA,NA,NA,NA
27.975,27.6075,26.440001,26.4125,513102000,24.313801,30.96889996,30.7318,30.66790006,30.41229998,210643592,28.10316958,NA,NA,NA,NA,NA,NA,NA
27.200001,23.717501,25.780001,23,648825200,23.706881,30.87124998,30.5652,30.54765008,30.23674998,220669200,27.99522446,NA,NA,NA,NA,NA,NA,NA
27.7775,27.7775,25.934999,25.875,414406400,23.849411,30.7906,30.49025,30.43175006,30.12569998,225438216,27.89127422,NA,NA,NA,NA,NA,NA,NA
